artist_name,album_name,song_name,2024.10,2024.11,2024.12,2025.1,2025.2,2025.3,2025.4,2025.5,2025.6,2025.7,2025.8,2025.9
aespa,Whiplash,Whiplash,25,2,3,3,3,6,5,5,7,10,11,11
aespa,Rich Man,Rich Man,0,0,0,0,0,0,0,0,0,0,0,6
BABYMONSTER,DRIP,DRIP,0,54,34,13,12,18,28,32,39,52,59,68
IVE,IVE EMPATHY,REBEL HEART,0,0,0,24,1,5,8,11,18,30,30,38
IVE,IVE EMPATHY,ATTITUDE,0,0,0,0,11,11,15,19,32,51,64,69
IVE,IVE SECRET,XOXZ,0,0,0,0,0,0,0,0,0,0,0,7
LE SSERAFIM,HOT,HOT,0,0,0,0,0,65,11,13,22,38,53,62
