artist_name,Spotify_followers,popularity_score,albums_popularity,Youtube_subscribers,Youtube_views,album_sales,albums_count,album_average_sales
SEVENTEEN,13746871,78,2161,16200000,7797609294,2545862,1,2545862
TOMORROW X TOGETHER,12115049,77,3953,13100000,3494513829,3550765,2,1775382
BOYNEXTDOOR,1921165,70,853,2070000,1166800131,1166922,1,1166922
ENHYPEN,13306107,80,1977,12900000,2867026124,3482378,2,1741189
RIIZE,1456456,66,1125,1870000,1026218350,1413171,1,1413171
Stray Kids,21339491,87,3988,22300000,9773755745,5463232,2,2731616
ZEROBASEONE,1240432,65,2114,2050000,878873279,2743661,2,1371830
